subject,start,end,start_dur,end_dur,start_sec,end_sec,start_frame,end_frame
p1,0.02,1.46,2s,1m 46s,2,106,44100,2337300
p1,3.33,5.36,3m 33s,5m 36s,213,336,4696650,7408800
p1,7.28,9.02,7m 28s,9m 2s,448,542,9878400,11951100
p1,10.53,12.34,10m 53s,12m 34s,653,754,14398650,16625700
p2,1.55,3.26,1m 55s,3m 26s,115,206,2535750,4542300
p2,5.38,7.11,5m 38s,7m 11s,338,431,7452900,9503550
p2,9.1,10.33,9m 10s,10m 33s,550,633,12127500,13957650
p2,12.41,14.07,12m 41s,14m 7s,761,847,16780050,18676350
P5,0.04,1.54,4s,1m 54s,4,114,88200,2513700
P5,3.44,5.39,3m 44s,5m 39s,224,339,4939200,7474950
p5,7.35,7.41,7m 35s,7m 41s,455,461,10032750,10165050
p5,8.00,8.11,8m,8m 11s,480,491,10584000,10826550
P5,8.15,8.16,8m 15s,8m 16s,495,496,10914750,10936800
P5,8.29,9.10,8m 29s,9m 10s,509,550,11223450,12127500
P5,9.12,9.52,9m 12s,9m 52s,552,592,12171600,13053600
P5,10.20,10.25,10m 20s,10m 25s,620,625,13671000,13781250
P6,1.57,3.44,1m 57s,3m 44s,117,224,2579850,4939200
p6,5.42,7.35,5m 42s,7m 35s,342,455,7541100,10032750
P6,7.41,7.59,7m 41s,7m 59s,461,479,10165050,10561950
p6,8.11,8.15,8m 11s,8m 15s,491,495,10826550,10914750
P6,8.16,8.29,8m 16s,8m 29s,496,509,10936800,11223450
p6,9.53,10.19,9m 53s,10m 19s,593,619,13075650,13648950
P6,1.57,3.44,1m 57s,3m 44s,117,224,2579850,4939200
p6,5.42,7.35,5m 42s,7m 35s,342,455,7541100,10032750
p7,0.04,1.57,4s,1m 54s,4,114,88200,2513700
p8,1.59,3.40,1m 59s,3m 40s,119,220,2623950,4851000
p7,3.43,5.35,3m 43s,5m 35s,223,335,4917150,7386750
P8,5.36,7,5m 36s,7m,336,420,7408800,9261000
P7,7.07,8.35,7m 7s,8m 35s,427,515,9415350,11355750
P8,8.37,10.04,8m 39s,10m 4s,519,604,11443950,13318200
P9,0.04,1.33,4s,1m 33s,4,93,88200,2050650
p10,1.36,2.59,1m 36s,2m 59s,96,179,2116800,3946950
p9,3.00,3.56,3m,3m 56s,180,236,3969000,5203800
p10,4.00,5.37,4m,5m 37s,240,337,5292000,7430850
p9,5.39,7.03,5m 39s,7m 3s,339,423,7474950,9327150
p10,7.16,9.06,7m 16s,9m 6s,436,546,9613800,12039300
p9,9.16,10.06,9m 16s,10m 6s,556,606,12259800,13362300
p11,0.02,1.17,2s,1m 17s,2,77,44100,1697850
P12,1.20,2.5,1m 20s,2m 50s,80,170,1764000,3748500
p11,2.5,2.58,2m 50s,2m 58s,170,178,3748500,3924900
p12,2.58,3.25,2m 58s,3m 25s,178,205,3924900,4520250
p11,3.25,3.29,3m 25s,3m 29s,205,209,4520250,4608450
